household_key,group,treatment,pre_active_days,pre_baskets,pre_sales,pre_quantity,recency,no_pre_purchase,pre_target_baskets,pre_target_sales,pre_target_quantity,pre_target_purchase,pre_coupon_redemptions,pre_campaign_count,target_sales,target_quantity,target_purchase,total_sales,baskets,any_purchase,target_sales_first30,target_quantity_first30,target_purchase_first30,total_sales_first30,baskets_first30,any_purchase_first30,target_sales_per_day,total_sales_per_day
2,대조,0,11.0,11.0,562.5,216.0,15.0,0,11.0,291.52,108.0,1,0,0,27.32,13.0,1,107.52,1.0,1,0.0,0.0,0,0.0,0.0,0,0.5692,2.24
4,대조,0,11.0,11.0,174.76000000000002,62.0,8.0,0,9.0,101.37,33.0,1,0,1,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
6,처치,1,78.0,86.0,2008.22,47797.0,1.0,0,78.0,1262.95,618.0,1,0,2,249.08,94.0,1,493.46,24.0,1,150.6,59.0,1,344.01,16.0,1,5.1892,10.2804
7,대조,0,15.0,15.0,1093.45,498.0,26.0,0,15.0,664.05,270.0,1,0,2,199.38,71.0,1,327.01,4.0,1,84.57000000000001,30.0,1,138.52,2.0,1,4.1537,6.8127
16,대조,0,35.0,38.0,536.59,27753.0,64.0,0,29.0,212.02,90.0,1,0,2,7.59,3.0,1,11.34,2.0,1,7.59,3.0,1,7.59,1.0,1,0.1581,0.2362
17,처치,1,26.0,32.0,1305.25,90349.0,34.0,0,24.0,744.59,344.0,1,0,3,181.76,79.0,1,236.28,5.0,1,128.72,67.0,1,169.27,4.0,1,3.7867,4.9225
18,처치,1,42.0,47.0,1998.03,50381.0,8.0,0,38.0,798.2,338.0,1,2,1,261.3,104.0,1,549.35,12.0,1,168.38,64.0,1,360.14,7.0,1,5.4438,11.4448
20,처치,1,125.0,169.0,3215.92,193084.0,1.0,0,124.0,1313.39,665.0,1,0,3,257.03000000000003,114.0,1,820.22,38.0,1,201.15,85.0,1,591.89,26.0,1,5.3548,17.0879
22,처치,1,36.0,41.0,1734.25,121507.0,2.0,0,31.0,752.94,279.0,1,6,5,209.89,65.0,1,441.14,10.0,1,134.42,40.0,1,272.19,6.0,1,4.3727,9.1904
23,처치,1,33.0,35.0,766.19,62340.0,5.0,0,22.0,345.79,128.0,1,0,1,61.410000000000004,26.0,1,171.14000000000001,11.0,1,34.86,15.0,1,104.35,7.0,1,1.2794,3.5654
25,처치,1,26.0,26.0,878.87,14372.0,4.0,0,22.0,307.33,171.0,1,0,2,101.31,57.0,1,428.46000000000004,10.0,1,61.69,32.0,1,248.8,6.0,1,2.1106,8.9263
26,처치,1,24.0,27.0,716.1,326.0,5.0,0,22.0,494.32,186.0,1,0,0,32.66,20.0,1,48.6,5.0,1,8.64,6.0,1,18.81,3.0,1,0.6804,1.0125
27,처치,1,147.0,160.0,2468.05,1202.0,1.0,0,142.0,588.76,415.0,1,0,4,157.49,204.0,1,612.92,41.0,1,97.96,126.0,1,386.66,27.0,1,3.281,12.7692
31,대조,0,12.0,13.0,1120.71,63704.0,1.0,0,9.0,444.33,191.0,1,0,0,162.59,75.0,1,461.41,8.0,1,123.67,51.0,1,344.72,6.0,1,3.3873,9.6127
32,처치,1,24.0,25.0,803.64,13506.0,7.0,0,21.0,308.06,139.0,1,0,4,79.36,27.0,1,209.34,5.0,1,26.8,6.0,1,56.89,3.0,1,1.6533,4.3612
36,처치,1,53.0,58.0,1288.72,619.0,1.0,0,57.0,987.28,428.0,1,0,1,282.29,116.0,1,504.14,19.0,1,167.06,67.0,1,279.99,9.0,1,5.881,10.5029
37,대조,0,18.0,22.0,1138.65,39405.0,9.0,0,13.0,211.55,84.0,1,0,1,30.48,21.0,1,37.96,2.0,1,30.48,21.0,1,37.96,2.0,1,0.635,0.7908
38,대조,0,10.0,10.0,131.62,49.0,35.0,0,7.0,60.67,28.0,1,0,1,5.98,2.0,1,108.93,3.0,1,0.0,0.0,0,0.0,0.0,0,0.1246,2.2694
39,처치,1,9.0,9.0,875.94,400.0,3.0,0,9.0,416.55,198.0,1,0,3,105.52,55.0,1,233.7,5.0,1,62.88,34.0,1,124.19,2.0,1,2.1983,4.8687
41,대조,0,25.0,26.0,1135.33,564.0,2.0,0,26.0,693.66,289.0,1,0,0,189.04,93.0,1,335.03,7.0,1,97.9,53.0,1,179.63,4.0,1,3.9383,6.9798
42,처치,1,31.0,31.0,653.41,484.0,5.0,0,31.0,380.2,216.0,1,0,1,71.72,35.0,1,114.67,4.0,1,25.669999999999998,14.0,1,44.6,2.0,1,1.4942,2.389
43,대조,0,39.0,53.0,523.56,32614.0,1.0,0,32.0,361.15,91.0,1,0,3,9.02,7.0,1,20.76,5.0,1,0.74,1.0,1,7.73,2.0,1,0.1879,0.4325
