household_key,group,treatment,pre_active_days,pre_baskets,pre_sales,pre_quantity,recency,no_pre_purchase,pre_target_baskets,pre_target_sales,pre_target_quantity,pre_target_purchase,pre_coupon_redemptions,pre_campaign_count,target_sales,target_quantity,target_purchase,total_sales,baskets,any_purchase,target_sales_first30,target_quantity_first30,target_purchase_first30,total_sales_first30,baskets_first30,any_purchase_first30,target_sales_per_day,total_sales_per_day,p_score
2,처치,1,39,39,1621.59,676,4,0,37,840.31,318,1,0,0,104.49,43.0,1,201.86,5.0,1,44.32,20.0,1,107.08,3.0,1,1.8659,3.6046,0.5163677608979281
4,대조,0,27,27,1080.72,344,3,0,25,448.15,162,1,0,1,26.29,18.0,1,119.39,3.0,1,12.59,9.0,1,19.65,1.0,1,0.4695,2.132,0.21225056948254076
6,처치,1,182,204,5084.92,94291,2,0,180,3255.76,1371,1,0,3,237.16,107.0,1,406.07,22.0,1,145.27,64.0,1,200.19,10.0,1,4.235,7.2512,0.9651797712942474
16,대조,0,84,92,1471.45,81181,5,0,70,516.73,221,1,0,2,4.99,1.0,1,24.05,2.0,1,4.99,1.0,1,14.57,1.0,1,0.0891,0.4295,0.6514219559808924
17,처치,1,91,114,4582.07,286679,2,0,87,2304.69,983,1,0,4,274.44,93.0,1,485.42,8.0,1,181.78,56.0,1,288.37,4.0,1,4.9007,8.6682,0.8253345066878606
23,처치,1,83,90,2639.31,167212,23,0,49,1030.56,389,1,0,2,119.23,50.0,1,215.25,9.0,1,69.39,25.0,1,127.75,5.0,1,2.1291,3.8438,0.603747088578894
25,처치,1,70,76,2739.2000000000003,15076,7,0,62,918.45,469,1,0,3,68.84,32.0,1,168.2,6.0,1,15.03,7.0,1,47.99,2.0,1,1.2293,3.0036,0.6587235776207373
26,대조,0,80,87,1515.7,799,14,0,80,1008.09,499,1,0,1,87.1,48.0,1,145.55,12.0,1,38.120000000000005,24.0,1,58.06,4.0,1,1.5554,2.5991,0.755492006717899
29,대조,0,50,59,1216.82,622,9,0,51,652.64,345,1,1,5,7.49,3.0,1,47.58,3.0,1,0.0,0.0,0,0.0,0.0,0,0.1338,0.8496,0.30873440493132603
31,대조,0,34,36,2551.47,189164,2,0,22,971.05,391,1,0,0,474.64,141.0,1,796.87,13.0,1,277.44,86.0,1,391.74,4.0,1,8.4757,14.2298,0.39202495134217835
32,처치,1,90,100,2821.69,264070,8,0,67,895.51,402,1,0,5,97.71,51.0,1,251.11,7.0,1,86.63,46.0,1,184.63,4.0,1,1.7448,4.4841,0.5673494337783167
37,처치,1,39,45,2068.99,59398,9,0,26,564.92,229,1,0,1,140.75,37.0,1,302.88,8.0,1,133.76,34.0,1,228.84,6.0,1,2.5134,5.4086,0.33897215498308614
38,대조,0,27,27,706.13,275,36,0,19,174.6,66,1,0,1,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.08951859061589278
39,대조,0,43,51,4175.06,13413,14,0,45,2137.36,860,1,0,4,182.22,80.0,1,433.4,8.0,1,77.95,36.0,1,211.52,3.0,1,3.2539,7.7393,0.5272182724221234
41,처치,1,54,57,2306.31,1108,7,0,53,1372.45,556,1,0,0,191.14,70.0,1,332.94,7.0,1,67.93,27.0,1,140.45,3.0,1,3.4132,5.9454,0.7396292932392755
42,처치,1,69,70,1594.33,1096,4,0,68,969.59,527,1,0,2,110.03,64.0,1,166.54,8.0,1,53.14,34.0,1,77.85,3.0,1,1.9648,2.9739,0.6544516662982961
45,대조,0,54,56,800.59,298,79,0,53,480.82,151,1,0,1,1.0,1.0,1,6.5,1.0,1,1.0,1.0,1,6.5,1.0,1,0.0179,0.1161,0.4160669240891875
47,처치,1,85,93,1977.76,643,12,0,67,977.32,319,1,0,2,52.0,12.0,1,80.32000000000001,6.0,1,42.12,9.0,1,69.44,5.0,1,0.9286,1.4343,0.683841941462968
49,처치,1,78,89,4985.2300000000005,369080,5,0,60,2168.76,849,1,0,3,290.93,96.0,1,542.66,15.0,1,107.97,35.0,1,254.49,6.0,1,5.1952,9.6904,0.7633041699646411
51,처치,1,67,72,2543.39,1078,3,0,60,1052.12,443,1,0,3,52.36,13.0,1,202.96,7.0,1,31.92,8.0,1,119.8,3.0,1,0.935,3.6243,0.6376535005538894
