household_key,group,treatment,pre_active_days,pre_baskets,pre_sales,pre_quantity,recency,no_pre_purchase,pre_target_baskets,pre_target_sales,pre_target_quantity,pre_target_purchase,pre_coupon_redemptions,pre_campaign_count,target_sales,target_quantity,target_purchase,total_sales,baskets,any_purchase,target_sales_first30,target_quantity_first30,target_purchase_first30,total_sales_first30,baskets_first30,any_purchase_first30,target_sales_per_day,total_sales_per_day,p_score,match_id
2,처치,1,39,39,1621.59,676,4,0,37,840.31,318,1,0,0,104.49,43.0,1,201.86,5.0,1,44.32,20.0,1,107.08,3.0,1,1.8659,3.6046,0.5163677608979281,1
2002,대조,0,46,50,1833.98,64465,18,0,42,937.71,446,1,0,1,199.29,79.0,1,383.25,9.0,1,149.32,58.0,1,311.13,5.0,1,3.5588,6.8438,0.5164695887273096,1
6,처치,1,182,204,5084.92,94291,2,0,180,3255.76,1371,1,0,3,237.16,107.0,1,406.07,22.0,1,145.27,64.0,1,200.19,10.0,1,4.235,7.2512,0.9651797712942474,2
906,대조,0,251,327,6155.41,566489,2,0,215,2695.85,1455,1,0,5,246.63,156.0,1,397.9,23.0,1,143.32,85.0,1,230.35,14.0,1,4.4041,7.1054,0.9641113945130816,2
17,처치,1,91,114,4582.07,286679,2,0,87,2304.69,983,1,0,4,274.44,93.0,1,485.42,8.0,1,181.78,56.0,1,288.37,4.0,1,4.9007,8.6682,0.8253345066878606,3
1567,대조,0,104,118,1825.42,1223,2,0,98,1040.39,553,1,0,2,111.08,48.0,1,151.61,18.0,1,34.28,12.0,1,53.35,7.0,1,1.9836,2.7073,0.8177928555007857,3
23,처치,1,83,90,2639.31,167212,23,0,49,1030.56,389,1,0,2,119.23,50.0,1,215.25,9.0,1,69.39,25.0,1,127.75,5.0,1,2.1291,3.8438,0.603747088578894,4
1182,대조,0,82,110,1656.86,58778,34,0,72,796.39,341,1,0,3,124.67,51.0,1,194.42,9.0,1,94.16,34.0,1,142.49,5.0,1,2.2262,3.4718,0.6018691534204089,4
25,처치,1,70,76,2739.2000000000003,15076,7,0,62,918.45,469,1,0,3,68.84,32.0,1,168.2,6.0,1,15.03,7.0,1,47.99,2.0,1,1.2293,3.0036,0.6587235776207373,5
2016,대조,0,88,117,1585.96,1098,25,0,71,919.0,465,1,0,2,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.6573725811306083,5
32,처치,1,90,100,2821.69,264070,8,0,67,895.51,402,1,0,5,97.71,51.0,1,251.11,7.0,1,86.63,46.0,1,184.63,4.0,1,1.7448,4.4841,0.5673494337783167,6
563,대조,0,50,62,2118.23,114217,6,0,42,836.19,383,1,0,1,71.76,42.0,1,200.07,5.0,1,26.09,15.0,1,91.1,2.0,1,1.2814,3.5727,0.5664593723352457,6
37,처치,1,39,45,2068.99,59398,9,0,26,564.92,229,1,0,1,140.75,37.0,1,302.88,8.0,1,133.76,34.0,1,228.84,6.0,1,2.5134,5.4086,0.33897215498308614,7
1132,대조,0,32,41,1565.45,816,53,0,37,906.43,341,1,0,2,244.63,75.0,1,376.25,10.0,1,134.96,43.0,1,182.22,4.0,1,4.3684,6.7188,0.33939809246469566,7
41,처치,1,54,57,2306.31,1108,7,0,53,1372.45,556,1,0,0,191.14,70.0,1,332.94,7.0,1,67.93,27.0,1,140.45,3.0,1,3.4132,5.9454,0.7396292932392755,8
2468,대조,0,70,83,2449.81,1304,13,0,70,1209.23,552,1,0,2,11.82,11.0,1,34.44,4.0,1,1.73,2.0,1,13.3,1.0,1,0.2111,0.615,0.7383180267652544,8
42,처치,1,69,70,1594.33,1096,4,0,68,969.59,527,1,0,2,110.03,64.0,1,166.54,8.0,1,53.14,34.0,1,77.85,3.0,1,1.9648,2.9739,0.6544516662982961,9
257,대조,0,76,100,2109.42,15963,15,0,71,1251.2,630,1,0,3,207.99,84.0,1,355.1,14.0,1,168.41,62.0,1,265.4,8.0,1,3.7141,6.3411,0.656298256433877,9
47,처치,1,85,93,1977.76,643,12,0,67,977.32,319,1,0,2,52.0,12.0,1,80.32000000000001,6.0,1,42.12,9.0,1,69.44,5.0,1,0.9286,1.4343,0.683841941462968,10
2111,대조,0,102,111,2393.65,105987,6,0,83,1416.03,846,1,1,5,36.15,19.0,1,71.15,8.0,1,32.15,15.0,1,67.15,6.0,1,0.6455,1.2705,0.6840430680670659,10
49,처치,1,78,89,4985.2300000000005,369080,5,0,60,2168.76,849,1,0,3,290.93,96.0,1,542.66,15.0,1,107.97,35.0,1,254.49,6.0,1,5.1952,9.6904,0.7633041699646411,11
1174,대조,0,89,108,1666.35,991,2,0,87,951.0,453,1,0,2,120.46,50.0,1,173.34,6.0,1,40.6,13.0,1,81.48,3.0,1,2.1511,3.0954,0.7669923754033425,11
51,처치,1,67,72,2543.39,1078,3,0,60,1052.12,443,1,0,3,52.36,13.0,1,202.96,7.0,1,31.92,8.0,1,119.8,3.0,1,0.935,3.6243,0.6376535005538894,12
1634,대조,0,61,67,3583.96,4426,18,0,51,1385.54,690,1,2,4,198.19,82.0,1,473.07,8.0,1,154.79,63.0,1,371.27,5.0,1,3.5391,8.4477,0.6397163522569751,12
55,처치,1,107,111,820.25,337,1,0,70,336.89,143,1,0,3,58.16,16.0,1,117.45,15.0,1,35.2,11.0,1,44.92,7.0,1,1.0386,2.0973,0.470314828824961,13
